listing,price,brand,size
Marc Jacobs Too Hot to Handle Bentley Tote In Blue,127.0,Marc,
NWT MARC JACOBS snapshot bag,215.0,NWT,
Louis Vuitton Brown Monogram Shoulder Bag,435.0,Louis,
Coach Legacy Penny Leather Flap Clutch 49375 Midnight Purple Small Bag New Other,120.0,Coach,Small
PRADA Barbie Tamari’s Pink Saffiano Lux Medium Tote Top Handle W/ Crossbody,675.0,PRADA,Medium
Zara Multicolor Tweed Crossbody Bag with Chain,18.0,Zara,
"Canvas Tote Bag with Tassels, Bohemian Shoulder Bag, Large Capacity Beach Bag",85.0,Canvas,Large
Canvas Beige Bag Wild Flowers Image Groceries Miscellaneous Items,10.0,Canvas,
GiGi New York Beige Round Crossbody Bag,48.0,GiGi,
Valentino Garavani Rockstud Crossbody Shoulder Bag In Pink Nude Leather,1579.0,Valentino,
Michael Kors White Wristlet,39.0,Michael,
Kate Spade Dark Green Leather Wallet,25.0,Kate,
Patricia Nash Colli Studded Leather Clutch Wallet Black Embossed Tassel,42.0,Patricia,
Kate Spade Vibrant Orange and Cream Tote,100.0,Kate,
Hello Kitty Lunchbox,55.0,Hello,
B. Makowsky‎ Dunaway Glove Leather Tote Nutmeg Leather Hobo Shoulder Bag Gift,125.0,B.,
Estee Lauder Gold Quilted Women's Bag,10.0,Estee,
Bonita Bags Merlot Faux Crocodile Clutch.,30.0,Bonita,
Spartina 449 Ivory/Navy/Lime Tote‎,63.0,Spartina,
Patricia Nash‎ Flora Leather Ashford Satchel Handbag NEW Summer Drawing,185.0,Patricia,
Vera Bradley  All-In-One Crossbody Wallet – Red- Quilted Fabric,23.0,Vera,
"Trader Joe's Pastel Blue Mini Canvas Collectible‎ Tote Summer Fun NWT
          
      NWT",19.0,Trader,Mini
Vintage Inspired Lace Trim Floral Clutch Cottagecore Milkmaid,26.0,Vintage,
Cute GH Bass & Co. Black/ Brown Purse with detachable coin/makeup bag & pompom,23.0,Cute,
Genuine Leather Women's Crossbody‎ Bag Rugged Earth Organizer Wallet Clutch READ,31.0,Genuine,
Vera Bradley Retired Nightingale Floral Wallet,15.0,Vera,
Vintage gold bag with long strap.,25.0,Vintage,
Vintage Heavily Beaded Black Formal Handbag,32.0,Vintage,
Vintage CELINE Macadam Canvas Vertical Tote Leather Handles,229.0,Vintage,
DISNEY 2012 Mickey Minnie messenger style bag w/glittery hearts and long strap.,30.0,DISNEY,
"Juicy Couture Sweet N Juicy Apple Mini Barrel Bag w Strawberry Coin Pouch -- NWT
          
      NWT",80.0,Juicy,Mini
Michael Kors Gilly Large Drawstring Zip Tote Light Cream MK Signature,175.0,Michael,Large
MICHAEL Michael Kors Jet Set East-West Leather Black Tote Bag AUTHENTIC,79.0,MICHAEL,
"New Juicy Couture Velour Liquorice Big Spender Backpack Bejeweled
          
      NWT",49.0,New,
Stuart‎ Weitzman Cala Medium Bucket Bag Claret Red Glass Patent Leather NEW,120.0,Stuart‎,Medium
"Vtg Womens Tapestry‎ Purse Animal Southwest Shoulder Bag Bead Slouch Tote 12""",30.0,Vtg,
"Michael Kors LG tote & wallet
          
      Boutique",350.0,Michael,
Tory Burch Amanda Leather Mini Crossbody Bag Red EUC,125.0,Tory,Mini
Rebecca Minkoff purse,20.0,Rebecca,
"Frye NWT Leather Tan Belt Bag Fanny Pack Shoulder Purse Clutch Small/medium
          
      NWT",94.0,Frye,Medium
Dagne Dover Midi Tote Bag Purse,65.0,Dagne,
